node_id,degree_centrality,dynamic_leverage,delta_apoptosis
AKT,0.3333,0.0906,0.116
BCL2,0.2917,0.0579,0.112
EGFR,0.1667,0.0552,0.0648
PI3K,0.1667,0.0534,0.0675
MTOR,0.125,0.0393,0.0444
ERK,0.2083,0.0293,0.0166
ERBB3,0.125,0.024,0.03
STAT3,0.125,0.0224,0.0208
NFKB,0.125,0.0197,0.0197
MYC,0.1667,0.0182,0.0
CCND1,0.2917,0.0165,0.0
MEK,0.0833,0.0139,0.0077
MDM2,0.125,0.0111,0.0557
RAF,0.0833,0.0078,0.0043
RAS,0.0833,0.005,0.0028
GRB2_SOS,0.125,0.0037,0.0021
MET,0.0833,0.0028,0.0033
DNA_DAMAGE,0.0417,-0.0,0.0
BAX,0.1667,-0.0038,-0.0064
CASP9,0.1667,-0.0072,-0.0087
P53,0.25,-0.0083,-0.0063
BAD,0.0833,-0.0129,-0.0214
P21,0.0833,-0.0209,0.0
CASP3,0.125,-0.0222,-0.0137
PTEN,0.0417,-0.0284,-0.0348
